,zipcode,city,state,median_listing_price
2280,37821, Newport ,TN ,135000
2281,37683, Mountain City ,TN ,224900
2282,37211, NASHVILLE ,TN ,335000
2283,38128, MEMPHIS ,TN ,125000
2284,37205, NASHVILLE ,TN ,1699999
2285,37207, Nashville ,TN ,259900
2286,37069, FRANKLIN ,TN ,2299900
2287,37215, NASHVILLE ,TN ,1795000
2288,37385, Tellico Plains ,TN ,16500
2289,37738, Gatlinburg ,TN ,229900
2290,38135, MEMPHIS ,TN ,239900
2291,37716, Clinton ,TN ,235000
2292,37922, Knoxville ,TN ,260000
2293,37931, Knoxville ,TN ,186000
2294,37863, Pigeon Forge ,TN ,239900
2295,37215, Nashville ,TN ,2099000
2296,37923, KNOXVILLE ,TN ,199900
2297,37208, NASHVILLE ,TN ,250000
2298,37921, KNOXVILLE ,TN ,200000
2299,38016, CORDOVA ,TN ,154900
2300,92037, La Jolla ,CA ,29500000
2301,90068, Los Angeles ,CA ,1399000
2302,92651, LAGUNA BEACH ,CA ,48000000
2303,92553, MORENO VALLEY ,CA ,251500
2304,91367, Woodland Hills ,CA ,2850000
2305,92657, NEWPORT COAST ,CA ,33900000
2306,92657, Newport Coast ,CA ,23850000
2307,94545, HAYWARD ,CA ,548999
2308,90077, LOS ANGELES ,CA ,17888000
2309,94611, Piedmont ,CA ,1095000
2310,94131, SAN FRANCISCO ,CA ,1295000
2311,91403, SHERMAN OAKS ,CA ,2095000
2312,91342, Sylmar ,CA ,149900
2313,90210, BEVERLY HILLS ,CA ,24950000
2314,90045, LOS ANGELES ,CA ,580000
2315,90210, BEVERLY HILLS ,CA ,15250000
2316,93108, SANTA BARBARA ,CA ,85000000
2317,92651, Laguna Beach ,CA ,149900
2318,90210, BEVERLY HILLS ,CA ,15988000
2319,92127, SAN DIEGO ,CA ,13500000
2320,94107, San Francisco ,CA ,1159000
2321,95826, Sacramento ,CA ,399900
2322,91402, PANORAMA CITY ,CA ,550000
2323,94618, OAKLAND ,CA ,1350000
2324,92807, ANAHEIM ,CA ,689000
2325,84037, KAYSVILLE ,UT ,549900
2326,84098, Park City ,UT ,599000
2327,84403, South Ogden ,UT ,319900
2328,84106, SALT LAKE CITY ,UT ,375000
2329,84780, Washington ,UT ,349900
2330,84058, Orem ,UT ,284000
2331,84032, Heber City ,UT ,479900
2332,84790, St George ,UT ,184900
2333,84095, South Jordan ,UT ,529999
2334,84103, SALT LAKE CITY ,UT ,825000
2335,84321, Logan ,UT ,174900
2336,84106, SALT LAKE CITY ,UT ,250000
2337,84310, EDEN ,UT ,409000
2338,84010, BOUNTIFUL ,UT ,184999
2339,84015, Sunset ,UT ,199900
2340,84041, LAYTON ,UT ,259900
2341,84770, St George ,UT ,394500
2342,84032, Heber City ,UT ,799900
2343,84108, SALT LAKE CITY ,UT ,10762200
2344,84770, St George ,UT ,529000
2345,84010, BOUNTIFUL ,UT ,350000
2346,84097, Orem ,UT ,1995000
2347,84790, St George ,UT ,975000
2348,84045, Saratoga Springs ,UT ,435000
2349,84088, West Jordan ,UT ,349900
2350,77007, HOUSTON ,TX ,8500000
2351,78408, CORPUS CHRISTI ,TX ,85000
